"KOD_ZSJ","MOP"
68608,"MOP Uhříněves Praha IV."
71056,"OOP Plzeň 2"
72621,"MOP Uhříněves Praha IV."
73725,"OOP Ostrava - Poruba 2"
76074,"MOP Uhříněves Praha IV."
76198,"OOP Plzeň - Skvrňany"
80942,"OOP Plzeň - Bory"
81451,"OOP Ostrava - Přívoz"
83968,"MOP Radotín Praha II."
83976,"MOP Radotín Praha II."
86428,"MOP Radotín Praha II."
90816,"OOP Plzeň - Skvrňany"
90824,"OOP Plzeň - Skvrňany"
102326,"MOP Uhříněves Praha IV."
104949,"OOP Ostrava - Hrabůvka"
107034,"OOP Bohumín"
107042,"OOP Bohumín"
107051,"OOP Bohumín"
107069,"OOP Bohumín"
107077,"OOP Bohumín"
107085,"OOP Bohumín"
107093,"OOP Bohumín"
107107,"OOP Bohumín"
107115,"OOP Bohumín"
107123,"OOP Bohumín"
107131,"OOP Bohumín"
109789,"OOP Ostrava - Poruba 1"
109797,"OOP Ostrava - Poruba 1"
109801,"OOP Ostrava - Poruba 1"
112682,"OOP Brno - Královo Pole"
113433,"OOP Ostrava - Přívoz"
113441,"OOP Ostrava - Přívoz"
113450,"OOP Ostrava - Přívoz"
113468,"OOP Ostrava - Přívoz"
113476,"OOP Ostrava - Přívoz"
113484,"OOP Ostrava - Přívoz"
113492,"OOP Ostrava - Přívoz"
113506,"OOP Ostrava - Přívoz"
113514,"OOP Ostrava - střed"
113522,"OOP Ostrava - střed"
113531,"OOP Ostrava - střed"
113549,"OOP Ostrava - Přívoz"
113557,"OOP Ostrava - střed"
113565,"OOP Ostrava - střed"
113573,"OOP Ostrava - střed"
113581,"OOP Ostrava - Vítkovice"
113590,"OOP Ostrava - Mariánské Hory"
113603,"OOP Ostrava - Mariánské Hory"
113611,"OOP Ostrava - Mariánské Hory"
113620,"OOP Ostrava - Mariánské Hory"
113638,"OOP Ostrava - Mariánské Hory"
113646,"OOP Ostrava - Mariánské Hory"
113654,"OOP Ostrava - Mariánské Hory"
113662,"OOP Ostrava - Mariánské Hory"
113671,"OOP Ostrava - střed"
113689,"OOP Ostrava - Přívoz"
113697,"OOP Ostrava - Přívoz"
113701,"OOP Ostrava - Mariánské Hory"
113719,"OOP Ostrava - Mariánské Hory"
113727,"OOP Ostrava - Přívoz"
113735,"OOP Ostrava - Přívoz"
113743,"OOP Ostrava - Přívoz"
113751,"OOP Ostrava - Přívoz"
113760,"OOP Ostrava - Přívoz"
113778,"OOP Ostrava - Přívoz"
113786,"OOP Ostrava - Přívoz"
113794,"OOP Ostrava - Přívoz"
113808,"OOP Ostrava - Přívoz"
113816,"OOP Ostrava - Přívoz"
113832,"OOP Ostrava - Mariánské Hory"
113841,"OOP Ostrava - Mariánské Hory"
113859,"OOP Ostrava - Mariánské Hory"
113867,"OOP Ostrava - Mariánské Hory"
113875,"OOP Ostrava - Mariánské Hory"
113883,"OOP Ostrava - Mariánské Hory"
113891,"OOP Ostrava - Mariánské Hory"
113905,"OOP Ostrava - Mariánské Hory"
113913,"OOP Ostrava - Mariánské Hory"
113921,"OOP Ostrava - Mariánské Hory"
113930,"OOP Ostrava - Mariánské Hory"
113948,"OOP Ostrava - Mariánské Hory"
113956,"OOP Ostrava - Mariánské Hory"
113964,"OOP Ostrava - Mariánské Hory"
