Obec/město/KATASTR,Okres,Kraj,PČR útvar,Číslo katastru,Původní (chybné) zařazení/Poznámka,PRIORITA
Hlavečník,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Kladruby nad Labem,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Kojice,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Labské Chrčice,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Morašice,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Přepychy,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Řečany nad Labem,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Selmice,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Tetov,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Trnávka,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Újezd u Přelouče,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Vápno,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Zdechovice,Pardubice,Pardubický kraj,OOP Chvaletice,,,
Boudy,Písek,Jihočeský kraj,OOP Čimelice,,,
Cerhonice,Písek,Jihočeský kraj,OOP Čimelice,,,
Čimelice,Písek,Jihočeský kraj,OOP Čimelice,,,
Drhovle,Písek,Jihočeský kraj,OOP Čimelice,,,
Horosedly,Písek,Jihočeský kraj,OOP Čimelice,,,
Kožlí,Písek,Jihočeský kraj,OOP Čimelice,,,
Králova Lhota,Písek,Jihočeský kraj,OOP Čimelice,,,
Lety,Písek,Jihočeský kraj,OOP Čimelice,,,
Minice,Písek,Jihočeský kraj,OOP Čimelice,,,
Mirotice,Písek,Jihočeský kraj,OOP Čimelice,,,
Mirovice,Písek,Jihočeský kraj,OOP Čimelice,,,
Mišovice,Písek,Jihočeský kraj,OOP Čimelice,,,
Myslín,Písek,Jihočeský kraj,OOP Čimelice,,,
Nerestce,Písek,Jihočeský kraj,OOP Čimelice,,,
Nevězice,Písek,Jihočeský kraj,OOP Čimelice,,,
Orlík nad Vltavou,Písek,Jihočeský kraj,OOP Čimelice,,,
Ostrovec,Písek,Jihočeský kraj,OOP Čimelice,,,
Předotice,Písek,Jihočeský kraj,OOP Čimelice,,,
Probulov,Písek,Jihočeský kraj,OOP Čimelice,,,
Rakovice,Písek,Jihočeský kraj,OOP Čimelice,,,
Smetanova Lhota,Písek,Jihočeský kraj,OOP Čimelice,,,
Vráž,Písek,Jihočeský kraj,OOP Čimelice,,,
,České Budějovice,Jihočeský kraj,OOP Čtyři Dvory,636797,OOP České Budějovice,2
,České Budějovice,Jihočeský kraj,OOP Čtyři Dvory,622729,OOP České Budějovice,2
,České Budějovice,Jihočeský kraj,OOP Čtyři Dvory,621943,OOP České Budějovice,2
Cvikov,Česká Lípa,Liberecký kraj,OOP Cvikov,,,
Krompach,Česká Lípa,Liberecký kraj,OOP Cvikov,,,
Kunratice u Cvikova,Česká Lípa,Liberecký kraj,OOP Cvikov,,,
Mařenice,Česká Lípa,Liberecký kraj,OOP Cvikov,,,
Svor,Česká Lípa,Liberecký kraj,OOP Cvikov,,,
Báňovice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Budeč,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Budíškovice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Červený Hrádek,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Český Rudolec,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Cizkrajov,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Dačice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Dešná,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Dobrohošť,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Heřmaneč,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Horní Slatina,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Hříšice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Kostelní Vydří,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Peč,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Písečné,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Slavonice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Staré Hobzí,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
Třebětice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Volfířov,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,,
Županovice,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,,OOP Slavonice,1
,Jindřichův Hradec,Jihočeský kraj,OOP Dačice,776700,OOP Nová Bystřice,3
Arnoltice,Děčín,Ústecký kraj,OOP Děčín - město,,Bylo OOP Hřensko. Sloučeno pod OOP Děčín - město,2
Děčín,Děčín,Ústecký kraj,OOP Děčín - město,,Pravobřežní část Děčína,2
Dobkovice,Děčín,Ústecký kraj,OOP Děčín - město,,,
Kámen,Děčín,Ústecký kraj,OOP Děčín - město,,,
Ludvíkovice,Děčín,Ústecký kraj,OOP Děčín - město,,,
Těchlovice,Děčín,Ústecký kraj,OOP Děčín - město,,,
Děčín,Děčín,Ústecký kraj,OOP Děčín - město - Podmokly,,Levobřežní část Děčína,2
Jílové,Děčín,Ústecký kraj,OOP Děčín - město - Podmokly,,OOP Děčín - město,2
Malšovice,Děčín,Ústecký kraj,OOP Děčín - město - Podmokly,,OOP Děčín - město,2
Dětmarovice,Karviná,Moravskoslezský kraj,OOP Dětmarovice,,,
Dolní Lutyně,Karviná,Moravskoslezský kraj,OOP Dětmarovice,,,
ZÁVADA NAD OLŠÍ,Karviná,Moravskoslezský kraj,OOP Dětmarovice,720372,OOP Karviná 7,2
Chlumčany,Plzeň-jih,Plzeňský kraj,OOP Dobřany,,,
Dnešice,Plzeň-jih,Plzeňský kraj,OOP Dobřany,,,
Dobřany,Plzeň-jih,Plzeňský kraj,OOP Dobřany,,,
LHOTA U DOBŘAN,Plzeň-jih,Plzeňský kraj,OOP Dobřany,680940,OOP Plzeň - Bory,2
Nová Ves,Plzeň-jih,Plzeňský kraj,OOP Dobřany,,,
Přestavlky,Plzeň-jih,Plzeňský kraj,OOP Dobřany,,,
Vstiš,Plzeň-jih,Plzeňský kraj,OOP Dobřany,,,
Borotice,Příbram,Středočeský kraj,OOP Dobříš,,,
Buková u Příbramě,Příbram,Středočeský kraj,OOP Dobříš,,,
Chotilsko,Příbram,Středočeský kraj,OOP Dobříš,,,
Čím,Příbram,Středočeský kraj,OOP Dobříš,,,
Daleké Dušníky,Příbram,Středočeský kraj,OOP Dobříš,,,
Dobříš,Příbram,Středočeský kraj,OOP Dobříš,,,
Drevníky,Příbram,Středočeský kraj,OOP Dobříš,,,
Drhovy,Příbram,Středočeský kraj,OOP Dobříš,,,
Hřiměždice,Příbram,Středočeský kraj,OOP Dobříš,,,
Korkyně,Příbram,Středočeský kraj,OOP Dobříš,,,
Malá Hraštice,Příbram,Středočeský kraj,OOP Dobříš,,,
Mokrovraty,Příbram,Středočeský kraj,OOP Dobříš,,,
Nečín,Příbram,Středočeský kraj,OOP Dobříš,,,
Nová Ves pod Pleší,Příbram,Středočeský kraj,OOP Dobříš,,,
Nové Dvory,Příbram,Středočeský kraj,OOP Dobříš,,,
Nový Knín,Příbram,Středočeský kraj,OOP Dobříš,,,
Obořiště,Příbram,Středočeský kraj,OOP Dobříš,,,
Obory,Příbram,Středočeský kraj,OOP Dobříš,,,
Pičín,Příbram,Středočeský kraj,OOP Dobříš,,,
Rosovice,Příbram,Středočeský kraj,OOP Dobříš,,,
Rybníky,Příbram,Středočeský kraj,OOP Dobříš,,,
Stará Huť,Příbram,Středočeský kraj,OOP Dobříš,,,
Svaté Pole,Příbram,Středočeský kraj,OOP Dobříš,,,
Velká Lečice,Příbram,Středočeský kraj,OOP Dobříš,,,
Voznice,Příbram,Středočeský kraj,OOP Dobříš,,,
Županovice,Příbram,Středočeský kraj,OOP Dobříš,,,
Březno,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Čachovice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Charvatce,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Chudíř,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Ctiměřice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Dobrovice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Domousnice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mnichovo Hradiště,2
Jabkenice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Kobylnice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Kolomuty,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mladá BoleslavI,2
Kosořice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Ledce,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Lhotky,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Lipník,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Luštěnice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Němčice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Nepřevázka,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mladá BoleslavI,2
Nová Telib,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Pěčice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Prodašice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Rabakov,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mnichovo Hradiště,2
Řepov,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mladá BoleslavI,2
Řitonice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mnichovo Hradiště,2
Rohatsko,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mnichovo Hradiště,2
Semčice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Smilovice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Strašnov,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mladá BoleslavI,2
Ujkovice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Veselice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,OOP Mnichovo Hradiště,2
Vinařice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Vlkava,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Všejany,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Žerčice,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Židněves,Mladá Boleslav,Středočeský kraj,OOP Dobrovice,,,
Bačetín,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Bohdašín,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Bystré,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
České Meziříčí,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Chlístov,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Deštné v Orlických horách,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Dobřany,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Dobré,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Dobruška,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Janov,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Jílovice,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Kounov,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Králova Lhota,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Ledce,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Mokré,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Očelice,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Ohnišov,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Olešnice v Orlických horách,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Opočno,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Podbřezí,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Pohoří,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Přepychy,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Rohenice,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Sedloňov,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Semechnice,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Sněžné,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Trnov,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Val,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Vysoký Újezd,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Dobruška,,,
Bezděz,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Blatce,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Chlum,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Doksy,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Dubá,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Holany,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Jestřebí,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Luka,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Okna,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Provodín,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Skalka u Doks,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Tachov,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Tuhaň,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Vrchovany,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Ždírec,Česká Lípa,Liberecký kraj,OOP Doksy,,,
Babylon,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Česká Kubice,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Chodov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Chrastavice,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Díly,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Domažlice,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Draženov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Klenčí pod Čerchovem,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Luženičky,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Milavče,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Mrákov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Nemanice,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Nevolice,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Pasečnice,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Pec,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Pelechy,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Postřekov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Stráž,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Tlumačov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Trhanov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Újezd,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Zahořany,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Ždánov,Domažlice,Plzeňský kraj,OOP Domažlice,,,
Dubí,Teplice,Ústecký kraj,OOP Dubí,,,
Košťany,Teplice,Ústecký kraj,OOP Dubí,,,
Novosedlice,Teplice,Ústecký kraj,OOP Dubí,,,
Újezdeček,Teplice,Ústecký kraj,OOP Dubí,,,
Čejč,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Čejkovice,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Dubňany,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Hovorany,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Karlín,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Milotice,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Mutěnice,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Ratíškovice,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Terezín,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Vacenovice,Hodonín,Jihomoravský kraj,OOP Dubňany,,,
Duchcov,Teplice,Ústecký kraj,OOP Duchcov,,,
Háj u Duchcova,Teplice,Ústecký kraj,OOP Duchcov,,,
Hrob,Teplice,Ústecký kraj,OOP Duchcov,,,
Jeníkov,Teplice,Ústecký kraj,OOP Duchcov,,,
Lahošť,Teplice,Ústecký kraj,OOP Duchcov,,,
Mikulov,Teplice,Ústecký kraj,OOP Duchcov,,,
Moldava,Teplice,Ústecký kraj,OOP Duchcov,,,
Osek,Teplice,Ústecký kraj,OOP Duchcov,,,
Zabrušany,Teplice,Ústecký kraj,OOP Duchcov,,,
Bílá Třemešná,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Bílé Poličany,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Borovnice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Borovnička,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Choustníkovo Hradiště,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Dolní Brusnice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Doubravice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Dubenec,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Dvůr Králové nad Labem,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Horní Brusnice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Hřibojedy,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Kocbeře,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Kohoutov,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Kuks,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Lanžov,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Libotov,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Litíč,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Mostek,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Nemojov,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Stanovice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Třebihošť,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Trotina,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Velký Vřešťov,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Vilantice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Vítězná,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Vlčkovice v Podkrkonoší,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Zábřezí-Řečice,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Zdobín,Trutnov,Královéhradecký kraj,OOP Dvůr Králové nad Labem,,,
Františkovy Lázně,Cheb,Karlovarský kraj,OOP Františkovy Lázně,,,
Hazlov,Cheb,Karlovarský kraj,OOP Františkovy Lázně,,,
KLEST,Cheb,Karlovarský kraj,OOP Františkovy Lázně,650854,"OOP Cheb - město; severní hranici tohoto OOP tvoří dálnice, zařazení Františkovy Lázně zpřesní tvar OOP i počty obyvatel",2
Libá,Cheb,Karlovarský kraj,OOP Františkovy Lázně,,,
Poustka,Cheb,Karlovarský kraj,OOP Františkovy Lázně,,,
STŘÍŽOV U CHEBU,Cheb,Karlovarský kraj,OOP Františkovy Lázně,650871,"OOP Cheb - město; severní hranici tohoto OOP tvoří dálnice, zařazení Františkovy Lázně zpřesní tvar OOP i počty obyvatel",2
Třebeň,Cheb,Karlovarský kraj,OOP Františkovy Lázně,,,
TRŠNICE,Cheb,Karlovarský kraj,OOP Františkovy Lázně,768901,"OOP Cheb - město; severní hranici tohoto OOP tvoří dálnice, zařazení Františkovy Lázně zpřesní tvar OOP i počty obyvatel",2
Vojtanov,Cheb,Karlovarský kraj,OOP Františkovy Lázně,,,
Bordovice,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,,,
Frenštát pod Radhoštěm,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,,,
Lichnov,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,,,
Tichá,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,,,
Trojanovice,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,,,
Veřovice,Nový Jičín,Moravskoslezský kraj,OOP Frenštát pod Radhoštěm,,,
Frýdek-Místek,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdek-Místek,,,
Staré Město,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdek-Místek,,,
Sviadnov,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdek-Místek,,,
Bulovka,Liberec,Liberecký kraj,OOP Frýdlant,,,
Černousy,Liberec,Liberecký kraj,OOP Frýdlant,,,
Dětřichov,Liberec,Liberecký kraj,OOP Frýdlant,,,
Frýdlant,Liberec,Liberecký kraj,OOP Frýdlant,,,
Habartice,Liberec,Liberecký kraj,OOP Frýdlant,,,
Heřmanice,Liberec,Liberecký kraj,OOP Frýdlant,,,
Krásný Les,Liberec,Liberecký kraj,OOP Frýdlant,,,
Kunratice,Liberec,Liberecký kraj,OOP Frýdlant,,,
Pertoltice,Liberec,Liberecký kraj,OOP Frýdlant,,,
Višňová,Liberec,Liberecký kraj,OOP Frýdlant,,,
Bílá,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Čeladná,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Frýdlant nad Ostravicí,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Janovice,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Kunčice pod Ondřejníkem,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Malenovice,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Ostravice,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Pržno,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Pstruží,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Staré Hamry,Frýdek-Místek,Moravskoslezský kraj,OOP Frýdlant nad Ostravicí,,,
Držková,Zlín,Zlínský kraj,OOP Fryšták,,,
Fryšták,Zlín,Zlínský kraj,OOP Fryšták,,,
Hrobice,Zlín,Zlínský kraj,OOP Fryšták,,,
Hvozdná,Zlín,Zlínský kraj,OOP Fryšták,,,
Kašava,Zlín,Zlínský kraj,OOP Fryšták,,,
KOSTELEC U ZLÍNA,Zlín,Zlínský kraj,OOP Fryšták,670138,OOP Zlín,2
Lukov,Zlín,Zlínský kraj,OOP Fryšták,,,
Lukoveček,Zlín,Zlínský kraj,OOP Fryšták,,,
Ostrata,Zlín,Zlínský kraj,OOP Fryšták,,,
Podkopná Lhota,Zlín,Zlínský kraj,OOP Fryšták,,,
ŠTÍPA,Zlín,Zlínský kraj,OOP Fryšták,670146,OOP Zlín,2
Trnava,Zlín,Zlínský kraj,OOP Fryšták,,,
VELÍKOVÁ,Zlín,Zlínský kraj,OOP Fryšták,778028,OOP Zlín,2
Vlčková,Zlín,Zlínský kraj,OOP Fryšták,,,
Fulnek,Nový Jičín,Moravskoslezský kraj,OOP Fulnek,,,
Hladké Životice,Nový Jičín,Moravskoslezský kraj,OOP Fulnek,,,
Kujavy,Nový Jičín,Moravskoslezský kraj,OOP Fulnek,,,
Vrchy,Nový Jičín,Moravskoslezský kraj,OOP Fulnek,,,
Bukovany,Sokolov,Karlovarský kraj,OOP Habartov,,,
Habartov,Sokolov,Karlovarský kraj,OOP Habartov,,,
Josefov,Sokolov,Karlovarský kraj,OOP Habartov,,,
Krajková,Sokolov,Karlovarský kraj,OOP Habartov,,,
Bohdíkov,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Branná,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Hanušovice,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Jindřichov,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Kopřivná,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Malá Morava,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Šléglov,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Staré Město,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Vikantice,Šumperk,Olomoucký kraj,OOP Hanušovice,,,
Harrachov,Semily,Liberecký kraj,OOP Harrachov,,,
Havířov,Karviná,Moravskoslezský kraj,OOP Havířov,,,
Horní Bludovice,Karviná,Moravskoslezský kraj,OOP Havířov,,,
Bartoušov,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Boňkov,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Břevnice,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Dolní Krupá,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Havlíčkův Brod,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Herálec,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Horní Krupá,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Hurtova Lhota,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Knyk,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Kochánov,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Krásná Hora,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Květinov,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Kyjov,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Lípa,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Lučice,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Michalovice,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Okrouhlice,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Okrouhlička,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
Olešná,Havlíčkův Brod,Kraj Vysočina,OOP Havlíčkův Brod,,,
