Odunec,Třebíč,Kraj Vysočina,OOP Hrotovice,98.0
Březina (dříve okres Blansko),Brno-venkov,Jihomoravský kraj,OOP Šlapanice,791.0
Nehvizdy,Praha-východ,Středočeský kraj,OOP Čelákovice,2024.0
Brandýs nad Orlicí,Ústí nad Orlicí,Pardubický kraj,OOP Choceň,1382.0
Křtěnov,Blansko,Jihomoravský kraj,OOP Letovice,237.0
Míšov,Plzeň-jih,Plzeňský kraj,OOP Blovice,112.0
Soběslav,Tábor,Jihočeský kraj,OOP Soběslav,7212.0
Chraštice,Příbram,Středočeský kraj,OOP Milín,244.0
Bílsko,Strakonice,Jihočeský kraj,OOP Vodňany,433.0
Rohatsko,Mladá Boleslav,Středočeský kraj,OOP Mnichovo Hradiště,219.0
Hoštejn,Šumperk,Olomoucký kraj,OOP Zábřeh,427.0
Milíře,Tachov,Plzeňský kraj,OOP Tachov,226.0
Zděchov,Vsetín,Zlínský kraj,OOP Karolinka,595.0
Roztoky,Rakovník,Středočeský kraj,OOP Roztoky,8882.0
Orlík nad Vltavou,Písek,Jihočeský kraj,OOP Čimelice,309.0
Prosenice,Přerov,Olomoucký kraj,OOP Přerov 2,862.0
Doňov,Jindřichův Hradec,Jihočeský kraj,OOP Jindřichův Hradec,77.0
Krupá,Rakovník,Středočeský kraj,OOP Hořesedly,851.0
Nová Ves u Jarošova,Svitavy,Pardubický kraj,OOP Litomyšl,63.0
Cizkrajov,Jindřichův Hradec,Jihočeský kraj,OOP Slavonice,526.0
Jinolice,Jičín,Královéhradecký kraj,OOP Jičín,178.0
Chvalkovice,Náchod,Královéhradecký kraj,OOP Jaroměř,981.0
Dubičné,České Budějovice,Jihočeský kraj,OOP Suché Vrbné,345.0
Ptenín,Plzeň-jih,Plzeňský kraj,OOP Stod,206.0
Pec pod Sněžkou,Trutnov,Královéhradecký kraj,OOP Pec pod Sněžkou,652.0
Horní Bludovice,Karviná,Moravskoslezský kraj,OOP Havířov,2025.0
Střeň,Olomouc,Olomoucký kraj,OOP Litovel,583.0
Brod nad Dyjí,Břeclav,Jihomoravský kraj,OOP Mikulov,485.0
Výžerky,Praha-východ,Středočeský kraj,OOP Kostelec nad Černými Lesy,132.0
Solnice,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Rychnov nad Kněžnou,2168.0
Určice,Prostějov,Olomoucký kraj,OOP Prostějov 1,1365.0
Štítina,Opava,Moravskoslezský kraj,OOP Kravaře,1201.0
Brod nad Tichou,Tachov,Plzeňský kraj,OOP Planá,243.0
Bystřička,Vsetín,Zlínský kraj,OOP Jablůnka,987.0
Radíč,Příbram,Středočeský kraj,OOP Sedlčany,200.0
Všepadly,Domažlice,Plzeňský kraj,OOP Holýšov,47.0
Proboštov,Teplice,Ústecký kraj,OOP Trnovany,2615.0
Zvěstov,Benešov,Středočeský kraj,OOP Votice,365.0
Roudné,České Budějovice,Jihočeský kraj,OOP Boršov nad Vltavou,994.0
Děčany,Litoměřice,Ústecký kraj,OOP Lovosice,353.0
Doudleby nad Orlicí,Rychnov nad Kněžnou,Královéhradecký kraj,OOP Kostelec nad Orlicí,1877.0
Bořetín,Pelhřimov,Kraj Vysočina,OOP Kamenice nad Lipou,209.0
Hospozín,Kladno,Středočeský kraj,OOP Velvary,547.0
Nákří,České Budějovice,Jihočeský kraj,OOP Hluboká nad Vltavou,215.0
Heřmanova Huť,Plzeň-sever,Plzeňský kraj,OOP Nýřany,1781.0
Želenice,Most,Ústecký kraj,OOP Obrnice,663.0
Velečín,Plzeň-sever,Plzeňský kraj,OOP Kralovice,64.0
Všetaty,Rakovník,Středočeský kraj,OOP Roztoky,2503.0
Rokle,Chomutov,Ústecký kraj,OOP Kadaň,305.0
Nová Dědina,Kroměříž,Zlínský kraj,OOP Kroměříž,426.0
Švábenice,Vyškov,Jihomoravský kraj,OOP Vyškov,1014.0
Světnov,Žďár nad Sázavou,Kraj Vysočina,OOP Žďár nad Sázavou,452.0
Radňoves,Žďár nad Sázavou,Kraj Vysočina,OOP Velká Bíteš,107.0
Sejřek,Žďár nad Sázavou,Kraj Vysočina,OOP Bystřice nad Pernštejnem,170.0
Bukovina u Přelouče,Pardubice,Pardubický kraj,OOP Přelouč,73.0
Frýdštejn,Jablonec nad Nisou,Liberecký kraj,OOP Rychnov u Jablonce nad Nisou,840.0
Doksany,Litoměřice,Ústecký kraj,OOP Terezín,387.0
Držková,Zlín,Zlínský kraj,OOP Fryšták,356.0
Vlčkov,Svitavy,Pardubický kraj,OOP Česká Třebová,107.0
Třebívlice,Litoměřice,Ústecký kraj,OOP Lovosice,881.0
Zámrsky,Přerov,Olomoucký kraj,OOP Hranice na Moravě,235.0
Mysletín,Pelhřimov,Kraj Vysočina,OOP Humpolec,110.0
Blatná,Strakonice,Jihočeský kraj,OOP Blatná,6717.0
Nová Cerekev,Pelhřimov,Kraj Vysočina,OOP Pelhřimov,1121.0
Prachovice,Chrudim,Pardubický kraj,OOP Heřmanův Městec,1468.0
Osečná,Liberec,Liberecký kraj,OOP Český Dub,1065.0
Nabočany,Chrudim,Pardubický kraj,OOP Chrudim,121.0
Ohníč,Teplice,Ústecký kraj,OOP Bílina,748.0
Volyně,Strakonice,Jihočeský kraj,OOP Volyně,3029.0
Arneštovice,Pelhřimov,Kraj Vysočina,OOP Pacov,90.0
Kobylá nad Vidnavkou,Jeseník,Olomoucký kraj,OOP Javorník,424.0
Třebovle,Kolín,Středočeský kraj,OOP Kouřim,448.0
Bratrušov,Šumperk,Olomoucký kraj,OOP Šumperk,624.0
Strážkovice,České Budějovice,Jihočeský kraj,OOP Trhové Sviny,407.0
Vrchy,Nový Jičín,Moravskoslezský kraj,OOP Fulnek,212.0
Slatiňany,Chrudim,Pardubický kraj,OOP Chrudim,4205.0
Běchary,Jičín,Královéhradecký kraj,OOP Kopidlno,219.0
Horní Olešnice,Trutnov,Královéhradecký kraj,OOP Hostinné,294.0
Chvatěruby,Mělník,Středočeský kraj,OOP Kralupy nad Vltavou,475.0
Řestoky,Chrudim,Pardubický kraj,OOP Chrast,486.0
Radíkov,Přerov,Olomoucký kraj,OOP Hranice na Moravě,147.0
Licibořice,Chrudim,Pardubický kraj,OOP Heřmanův Městec,233.0
Košťálov,Semily,Liberecký kraj,OOP Semily,1698.0
Milovice,Nymburk,Středočeský kraj,OOP Milovice,9991.0
Drozdov,Šumperk,Olomoucký kraj,OOP Zábřeh,1042.0
Ústup,Blansko,Jihomoravský kraj,OOP Letovice,43.0
Nové Hutě,Prachatice,Jihočeský kraj,OOP Horní Vltavice,84.0
Třtěnice,Jičín,Královéhradecký kraj,OOP Hořice,335.0
Svratouch,Chrudim,Pardubický kraj,OOP Hlinsko,888.0
Oldřiš,Svitavy,Pardubický kraj,OOP Polička,656.0
Jabloňany,Blansko,Jihomoravský kraj,OOP Boskovice,375.0
Ostřetice,Klatovy,Plzeňský kraj,OOP Klatovy,68.0
Loucká,Kladno,Středočeský kraj,OOP Velvary,140.0
Čenkov u Bechyně,České Budějovice,Jihočeský kraj,OOP Týn nad Vltavou,46.0
Džbánice,Znojmo,Jihomoravský kraj,OOP Moravský Krumlov,157.0
Jeseník nad Odrou,Nový Jičín,Moravskoslezský kraj,OOP Nový Jičín,1895.0
Bohumín,Karviná,Moravskoslezský kraj,OOP Bohumín,22026.0
Semice,Nymburk,Středočeský kraj,OOP Lysá nad Labem,1051.0
Nejepín,Havlíčkův Brod,Kraj Vysočina,OOP Chotěboř,60.0
Božice,Znojmo,Jihomoravský kraj,OOP Hrušovany nad Jevišovkou,1532.0
Lázně Libverda,Liberec,Liberecký kraj,OOP Hejnice,460.0
Rokytnice nad Jizerou,Semily,Liberecký kraj,OOP Rokytnice nad Jizerou,2965.0
Krasonice,Jihlava,Kraj Vysočina,OOP Telč,209.0
Světlík,Český Krumlov,Jihočeský kraj,OOP Větřní,227.0
Nižbor,Beroun,Středočeský kraj,OOP Beroun,1856.0
Vísky,Blansko,Jihomoravský kraj,OOP Letovice,293.0
Mydlovary,České Budějovice,Jihočeský kraj,OOP Hluboká nad Vltavou,293.0
Pelhřimov,Pelhřimov,Kraj Vysočina,OOP Pelhřimov,16313.0
Město Touškov,Plzeň-sever,Plzeňský kraj,OOP Město Touškov,2060.0
Radostov,Hradec Králové,Královéhradecký kraj,OOP Nový Bydžov,134.0
Barchov,Pardubice,Pardubický kraj,OOP Pardubice 4,476.0
Čerčany,Benešov,Středočeský kraj,OOP Čerčany,2721.0
Lážovice,Beroun,Středočeský kraj,OOP Karlštejn,93.0
Ždírec nad Doubravou,Havlíčkův Brod,Kraj Vysočina,OOP Chotěboř,3151.0
Blažim,Louny,Ústecký kraj,OOP Žatec,324.0
Lužnice,Jindřichův Hradec,Jihočeský kraj,OOP Třeboň,421.0
Černotín,Přerov,Olomoucký kraj,OOP Hranice na Moravě,753.0
Senomaty,Rakovník,Středočeský kraj,OOP Rakovník,1070.0
Provodov,Zlín,Zlínský kraj,OOP Luhačovice,775.0
Mikulášovice,Děčín,Ústecký kraj,OOP Velký Šenov,2265.0
Pucov,Třebíč,Kraj Vysočina,OOP Náměšť nad Oslavou,129.0
Kostníky,Třebíč,Kraj Vysočina,OOP Jemnice,186.0
Spomyšl,Mělník,Středočeský kraj,OOP Lužec nad Vltavou,447.0
Sobotín,Šumperk,Olomoucký kraj,OOP Velké Losiny,1243.0
Suchonice,Olomouc,Olomoucký kraj,OOP Velká Bystřice,176.0
Zvánovice,Praha-východ,Středočeský kraj,OOP Říčany,466.0
Uhy,Kladno,Středočeský kraj,OOP Velvary,381.0
Dolní Ředice,Pardubice,Pardubický kraj,OOP Holice,842.0
Trhové Sviny,České Budějovice,Jihočeský kraj,OOP Trhové Sviny,4997.0
Dobroslavice,Opava,Moravskoslezský kraj,OOP Hlučín,752.0
Vlastiboř,Jablonec nad Nisou,Liberecký kraj,OOP Železný Brod,444.0
Drahenice,Příbram,Středočeský kraj,OOP Březnice,159.0
Obrataň,Pelhřimov,Kraj Vysočina,OOP Pacov,830.0
Lopeník,Uherské Hradiště,Zlínský kraj,OOP Uherský Brod,188.0
Mezina,Bruntál,Moravskoslezský kraj,OOP Bruntál,314.0
Zahrádka,Plzeň-sever,Plzeňský kraj,OOP Úněšov,281.0
Nemyčeves,Jičín,Královéhradecký kraj,OOP Jičín,342.0
Mišovice,Písek,Jihočeský kraj,OOP Čimelice,206.0
Zemětice,Plzeň-jih,Plzeňský kraj,OOP Stod,258.0
Chvaleč,Trutnov,Královéhradecký kraj,OOP Trutnov,635.0
Blatno,Louny,Ústecký kraj,OOP Kryry,941.0
Modlíkov,Havlíčkův Brod,Kraj Vysočina,OOP Přibyslav,172.0
Stehlovice,Písek,Jihočeský kraj,OOP Milevsko,109.0
Velký Ořechov,Zlín,Zlínský kraj,OOP Luhačovice,757.0
Uhelná Příbram,Havlíčkův Brod,Kraj Vysočina,OOP Golčův Jeníkov,502.0
Unín,Brno-venkov,Jihomoravský kraj,OOP Tišnov,218.0
Prostřední Bečva,Vsetín,Zlínský kraj,OOP Rožnov pod Radhoštěm,1688.0
Dolní Cerekev,Jihlava,Kraj Vysočina,OOP Třešť,1301.0
Sobůlky,Hodonín,Jihomoravský kraj,OOP Kyjov,902.0
Veltruby,Kolín,Středočeský kraj,OOP Týnec nad Labem,1327.0
Železný Brod,Jablonec nad Nisou,Liberecký kraj,OOP Železný Brod,6442.0
Blažovice,Brno-venkov,Jihomoravský kraj,OOP Šlapanice,1127.0
Lidice,Kladno,Středočeský kraj,OOP Unhošť,445.0
Hvězdlice,Vyškov,Jihomoravský kraj,OOP Bučovice,589.0
Velemyšleves,Louny,Ústecký kraj,OOP Žatec,324.0
Kojetín,Havlíčkův Brod,Kraj Vysočina,OOP Přibyslav,6591.0
Pohoří,Praha-západ,Středočeský kraj,OOP Jílové u Prahy,1008.0
Horní Myslová,Jihlava,Kraj Vysočina,OOP Telč,90.0
Dobřenice,Hradec Králové,Královéhradecký kraj,OOP Nový Bydžov,575.0
Bítouchov,Mladá Boleslav,Středočeský kraj,OOP Mnichovo Hradiště,323.0
Chřenovice,Havlíčkův Brod,Kraj Vysočina,OOP Ledeč nad Sázavou,158.0
Vranov,Tachov,Plzeňský kraj,OOP Stříbro,1220.0
Ráječko,Blansko,Jihomoravský kraj,OOP Blansko,1250.0
Kvíčovice,Domažlice,Plzeňský kraj,OOP Holýšov,362.0
Rádlo,Jablonec nad Nisou,Liberecký kraj,OOP Rychnov u Jablonce nad Nisou,722.0
Pečky,Kolín,Středočeský kraj,OOP Pečky,4457.0
Neuměř,Domažlice,Plzeňský kraj,OOP Holýšov,144.0
Kostomlaty pod Milešovkou,Teplice,Ústecký kraj,OOP Bílina,886.0
Chlístov,Třebíč,Kraj Vysočina,OOP Okříšky,680.0
Slavětín nad Metují,Náchod,Královéhradecký kraj,OOP Nové Město nad Metují,254.0
Krásná Lípa,Děčín,Ústecký kraj,OOP Krásná Lípa,3550.0
Radostná pod Kozákovem,Semily,Liberecký kraj,OOP Turnov,408.0
Mezouň,Beroun,Středočeský kraj,OOP Karlštejn,528.0
Haškovcova Lhota,Tábor,Jihočeský kraj,OOP Bechyně,66.0
Ratibořské Hory,Tábor,Jihočeský kraj,OOP Mladá Vožice,756.0
Jáchymov,Karlovy Vary,Karlovarský kraj,OOP Jáchymov,3012.0
Písty,Nymburk,Středočeský kraj,OOP Sadská,396.0
Hoštice-Heroltice,Vyškov,Jihomoravský kraj,OOP Vyškov,574.0
Jívová,Olomouc,Olomoucký kraj,OOP Moravský Beroun,558.0
Morávka,Frýdek-Místek,Moravskoslezský kraj,OOP Nošovice,1077.0
Klášterní Skalice,Kolín,Středočeský kraj,OOP Pečky,132.0
Vlksice,Písek,Jihočeský kraj,OOP Milevsko,140.0
Jívoví,Žďár nad Sázavou,Kraj Vysočina,OOP Velké Meziříčí,296.0
Velká Chmelištná,Rakovník,Středočeský kraj,OOP Jesenice,47.0
Stradouň,Ústí nad Orlicí,Pardubický kraj,OOP Chrast,197.0
Kobylice,Hradec Králové,Královéhradecký kraj,OOP Nový Bydžov,246.0
Újezd u Boskovic,Blansko,Jihomoravský kraj,OOP Boskovice,465.0
Velké Svatoňovice,Trutnov,Královéhradecký kraj,OOP Úpice,1231.0
Vršovice,Louny,Ústecký kraj,OOP Louny,762.0
Halže,Tachov,Plzeňský kraj,OOP Tachov,984.0
Javůrek,Brno-venkov,Jihomoravský kraj,OOP Rosice,255.0
Nýřany,Plzeň-sever,Plzeňský kraj,OOP Nýřany,7096.0
Luková,Ústí nad Orlicí,Pardubický kraj,OOP Lanškroun,719.0
