Id,Vykazovane_zjisteno_mvcr,Vykazovane_objasneno_mvcr,FK_Crime_Lookup,FK_Area_Lookup,FK_Time_Range,Vykazovane_zjisteno_mesic,Vykazovane_objasneno_mesic,FK_District_Lookup
287,30,2,3,0,1,30,2,68
288,48,5,3,0,1,48,5,69
289,41,3,3,0,1,41,3,70
290,15,1,3,0,1,15,1,71
291,17,0,3,0,1,17,0,72
292,27,5,3,0,1,27,5,73
293,17,3,3,0,1,17,3,74
294,46,2,3,0,1,46,2,75
295,58,4,3,0,1,58,4,76
296,34,6,3,0,1,34,6,77
297,37,1,3,0,1,37,1,78
298,0,0,3,0,1,0,0,79
299,68,15,3,0,1,68,15,80
300,33,2,3,0,1,33,2,81
301,76,5,3,0,1,76,5,82
302,26,1,3,0,1,26,1,83
303,30,7,3,0,1,30,7,84
304,87,9,3,0,1,87,9,85
305,33,13,3,0,1,33,13,86
306,0,0,3,0,1,0,0,87
307,12685,1382,4,1,1,12685,1382,0
308,4274,176,4,2,1,4274,176,0
309,1404,97,4,3,1,1404,97,0
310,372,61,4,4,1,372,61,0
311,539,100,4,5,1,539,100,0
312,975,293,4,6,1,975,293,0
313,362,55,4,7,1,362,55,0
314,1127,100,4,8,1,1127,100,0
315,1594,161,4,9,1,1594,161,0
316,470,70,4,10,1,470,70,0
317,291,41,4,11,1,291,41,0
318,240,28,4,12,1,240,28,0
319,301,39,4,13,1,301,39,0
320,479,83,4,14,1,479,83,0
321,257,78,4,15,1,257,78,0
322,956,50,4,0,1,956,50,1
323,855,49,4,0,1,855,49,2
324,1037,36,4,0,1,1037,36,3
325,1426,41,4,0,1,1426,41,4
326,0,0,4,0,1,0,0,5
327,57,2,4,0,1,57,2,6
328,89,7,4,0,1,89,7,7
329,136,12,4,0,1,136,12,8
330,113,12,4,0,1,113,12,9
331,47,6,4,0,1,47,6,10
332,124,20,4,0,1,124,20,11
333,149,11,4,0,1,149,11,12
334,79,4,4,0,1,79,4,13
335,148,7,4,0,1,148,7,14
336,41,5,4,0,1,41,5,15
337,195,4,4,0,1,195,4,16
338,122,5,4,0,1,122,5,17
339,104,2,4,0,1,104,2,18
340,161,19,4,0,1,161,19,19
341,36,6,4,0,1,36,6,20
342,29,9,4,0,1,29,9,21
343,42,9,4,0,1,42,9,22
344,15,3,4,0,1,15,3,23
345,43,11,4,0,1,43,11,24
346,46,4,4,0,1,46,4,25
347,30,8,4,0,1,30,8,26
348,59,11,4,0,1,59,11,27
349,310,48,4,0,1,310,48,28
350,45,5,4,0,1,45,5,29
351,34,8,4,0,1,34,8,30
352,17,4,4,0,1,17,4,31
353,44,16,4,0,1,44,16,32
354,121,36,4,0,1,121,36,33
355,138,46,4,0,1,138,46,34
356,98,19,4,0,1,98,19,35
357,84,15,4,0,1,84,15,36
358,106,32,4,0,1,106,32,37
359,213,53,4,0,1,213,53,38
360,215,92,4,0,1,215,92,39
361,124,10,4,0,1,124,10,40
362,37,8,4,0,1,37,8,41
363,62,5,4,0,1,62,5,42
364,29,10,4,0,1,29,10,43
365,110,22,4,0,1,110,22,44
366,0,0,4,0,1,0,0,45
367,754,61,4,0,1,754,61,46
368,129,18,4,0,1,129,18,47
369,79,1,4,0,1,79,1,48
370,55,8,4,0,1,55,8,49
371,59,8,4,0,1,59,8,50
372,51,4,4,0,1,51,4,51
373,0,0,4,0,1,0,0,52
374,0,0,4,0,1,0,0,53
375,48,10,4,0,1,48,10,54
376,137,9,4,0,1,137,9,55
377,328,29,4,0,1,328,29,56
378,81,8,4,0,1,81,8,57
379,79,17,4,0,1,79,17,58
380,921,88,4,0,1,921,88,59
381,0,0,4,0,1,0,0,60
382,251,28,4,0,1,251,28,61
383,88,27,4,0,1,88,27,62
384,45,8,4,0,1,45,8,63
385,13,1,4,0,1,13,1,64
386,73,6,4,0,1,73,6,65
387,102,12,4,0,1,102,12,66
388,32,2,4,0,1,32,2,67
389,77,9,4,0,1,77,9,68
390,80,18,4,0,1,80,18,69
391,64,5,4,0,1,64,5,70
392,39,1,4,0,1,39,1,71
393,51,7,4,0,1,51,7,72
394,51,10,4,0,1,51,10,73
395,35,5,4,0,1,35,5,74
396,55,3,4,0,1,55,3,75
397,130,15,4,0,1,130,15,76
398,45,11,4,0,1,45,11,77
399,71,10,4,0,1,71,10,78
400,0,0,4,0,1,0,0,79
401,144,36,4,0,1,144,36,80
402,107,12,4,0,1,107,12,81
403,176,30,4,0,1,176,30,82
404,52,5,4,0,1,52,5,83
405,80,30,4,0,1,80,30,84
406,120,24,4,0,1,120,24,85
407,57,24,4,0,1,57,24,86
408,0,0,4,0,1,0,0,87
409,1920,238,5,1,1,1920,238,0
